Subject_ID,Session,Missing_File,
SS02,TX7,SS02 Videos: Expected 6 .MOV|AAE files," found 0 (pattern: ""*.MOV|AAE"")"
SS02,MID18,SS02 MVCs: Expected 12 .adicht|mat files," found 0 (pattern: ""SS[0-9]{2}_MVCs_MID18_[Left|Right]_[Hip|Knee|Ankle]_[Flexors|Extensors].adicht|mat"")"
SS02,MID18,SS02 Videos: Expected 6 .MOV|AAE files," found 0 (pattern: ""*.MOV|AAE"")"
SS02,MID18,SS02 XSENS: Expected 6 .mvn|xlsx files," found 0 (pattern: ""SS[0-9]{2}_XSENS_MID18_[FV|SSV]-00[1-3].mvn|xlsx"")"
SS02,TX10,SS02 Videos: Expected 6 .MOV|AAE files," found 0 (pattern: ""*.MOV|AAE"")"
SS02,MID24,SS02 MVCs: Expected 12 .adicht|mat files," found 0 (pattern: ""SS[0-9]{2}_MVCs_MID24_[Left|Right]_[Hip|Knee|Ankle]_[Flexors|Extensors].adicht|mat"")"
SS02,MID24,SS02 Videos: Expected 6 .MOV|AAE files," found 0 (pattern: ""*.MOV|AAE"")"
SS02,MID24,SS02 XSENS: Expected 6 .mvn|xlsx files," found 0 (pattern: ""SS[0-9]{2}_XSENS_MID24_[FV|SSV]-00[1-3].mvn|xlsx"")"
SS02,TX13,SS02 Videos: Expected 6 .MOV|AAE files," found 0 (pattern: ""*.MOV|AAE"")"
SS09,BL,SS09 Videos: Expected 6 .MOV|AAE files," found 0 (pattern: ""*.MOV|AAE"")"
SS09,TX7,SS09 Videos: Expected 6 .MOV|AAE files," found 0 (pattern: ""*.MOV|AAE"")"
SS09,MID18,SS09 Videos: Expected 6 .MOV|AAE files," found 0 (pattern: ""*.MOV|AAE"")"
SS09,TX10,SS09 Videos: Expected 6 .MOV|AAE files," found 0 (pattern: ""*.MOV|AAE"")"
SS09,MID24,SS09 Videos: Expected 6 .MOV|AAE files," found 1 (pattern: ""*.MOV|AAE"")"
SS09,TX13,SS09 Videos: Expected 6 .MOV|AAE files," found 0 (pattern: ""*.MOV|AAE"")"
SS09,TX16,SS09 Videos: Expected 6 .MOV|AAE files," found 0 (pattern: ""*.MOV|AAE"")"
SS09,POST18,SS09 Videos: Expected 6 .MOV|AAE files," found 0 (pattern: ""*.MOV|AAE"")"
SS09,POST18,SS09 XSENS: Expected 6 .mvn|xlsx files," found 0 (pattern: ""SS[0-9]{2}_XSENS_POST18_[FV|SSV]-00[1-3].mvn|xlsx"")"
SS09,TX19,SS09 Videos: Expected 6 .MOV|AAE files," found 0 (pattern: ""*.MOV|AAE"")"
SS09,TX22,SS09 Videos: Expected 6 .MOV|AAE files," found 0 (pattern: ""*.MOV|AAE"")"
SS09,POST24,SS09 Videos: Expected 6 .MOV|AAE files," found 0 (pattern: ""*.MOV|AAE"")"
SS09,POST24,SS09 XSENS: Expected 6 .mvn|xlsx files," found 0 (pattern: ""SS[0-9]{2}_XSENS_POST24_[FV|SSV]-00[1-3].mvn|xlsx"")"
SS10,BL,SS10 Videos: Expected 6 .MOV|AAE files," found 0 (pattern: ""*.MOV|AAE"")"
SS10,TX4,SS10 Videos: Expected 6 .MOV|AAE files," found 0 (pattern: ""*.MOV|AAE"")"
SS10,MID24,SS10 Videos: Expected 6 .MOV|AAE files," found 0 (pattern: ""*.MOV|AAE"")"
SS10,TX13,SS10 Videos: Expected 6 .MOV|AAE files," found 0 (pattern: ""*.MOV|AAE"")"
SS10,TX16,SS10 Videos: Expected 6 .MOV|AAE files," found 0 (pattern: ""*.MOV|AAE"")"
SS10,POST24,SS10 Videos: Expected 6 .MOV|AAE files," found 0 (pattern: ""*.MOV|AAE"")"
SS10,MO1FU,SS10 Videos: Expected 6 .MOV|AAE files," found 0 (pattern: ""*.MOV|AAE"")"
