Subject_ID,Session,Missing_File
SS02,BL,SS02 EMG: Expected 6 .adicht|mat files, found 0 (pattern: "SS[0-9]{2}_EMG_BL_[FV|SSV][1-3]{1}.adicht|mat")
SS02,BL,SS02 MVCs: Expected 12 .adicht|mat files, found 0 (pattern: "SS[0-9]{2}_MVC_BL_[Left|Right]_[Hip|Knee|Ankle]_[Flexors|Extensors].adicht|mat")
SS02,BL,SS02 TEPs: Expected 1 .adicht|mat files, found 0 (pattern: "SS[0-9]{2}_TEPs_BL.adicht|mat")
SS02,BL,SS02 XSENS: Expected 6 .mvn|xlsx files, found 0 (pattern: "SS[0-9]{2}_XSENS_BL_[FV|SSV]-00[1-3].mvn|xlsx")
SS09,BL,SS09 Videos: Expected 6 .MOV|AAE files, found 0 (pattern: "*.MOV|AAE")
SS09,BL,SS09 XSENS: Expected 6 .mvn|xlsx files, found 0 (pattern: "SS[0-9]{2}_XSENS_BL_[FV|SSV]-00[1-3].mvn|xlsx")
SS09,TX7,SS09 Videos: Expected 6 .MOV|AAE files, found 0 (pattern: "*.MOV|AAE")
SS09,MID18,SS09 Videos: Expected 6 .MOV|AAE files, found 0 (pattern: "*.MOV|AAE")
SS09,MID18,SS09 XSENS: Expected 6 .mvn|xlsx files, found 0 (pattern: "SS[0-9]{2}_XSENS_MID18_[FV|SSV]-00[1-3].mvn|xlsx")
SS09,TX10,SS09 Videos: Expected 6 .MOV|AAE files, found 0 (pattern: "*.MOV|AAE")
SS09,MID24,SS09 Videos: Expected 6 .MOV|AAE files, found 1 (pattern: "*.MOV|AAE")
SS09,MID24,SS09 XSENS: Expected 6 .mvn|xlsx files, found 0 (pattern: "SS[0-9]{2}_XSENS_MID24_[FV|SSV]-00[1-3].mvn|xlsx")
SS10,BL,SS10 TEPs: Expected 1 .adicht|mat files, found 0 (pattern: "SS[0-9]{2}_TEPs_BL.adicht|mat")
SS10,BL,SS10 Videos: Expected 6 .MOV|AAE files, found 0 (pattern: "*.MOV|AAE")
SS10,BL,SS10 XSENS: Expected 6 .mvn|xlsx files, found 0 (pattern: "SS[0-9]{2}_XSENS_BL_[FV|SSV]-00[1-3].mvn|xlsx")
SS10,TX4,SS10 Videos: Expected 6 .MOV|AAE files, found 0 (pattern: "*.MOV|AAE")
SS10,MID18,SS10 EMG: Expected 6 .adicht|mat files, found 0 (pattern: "SS[0-9]{2}_EMG_MID18_[FV|SSV][1-3]{1}.adicht|mat")
SS10,MID18,SS10 MVCs: Expected 12 .adicht|mat files, found 0 (pattern: "SS[0-9]{2}_MVC_MID18_[Left|Right]_[Hip|Knee|Ankle]_[Flexors|Extensors].adicht|mat")
SS10,MID18,SS10 TEPs: Expected 1 .adicht|mat files, found 0 (pattern: "SS[0-9]{2}_TEPs_MID18.adicht|mat")
SS10,MID18,SS10 XSENS: Expected 6 .mvn|xlsx files, found 0 (pattern: "SS[0-9]{2}_XSENS_MID18_[FV|SSV]-00[1-3].mvn|xlsx")
SS10,MID24,SS10 Videos: Expected 6 .MOV|AAE files, found 0 (pattern: "*.MOV|AAE")
SS10,MID24,SS10 XSENS: Expected 6 .mvn|xlsx files, found 0 (pattern: "SS[0-9]{2}_XSENS_MID24_[FV|SSV]-00[1-3].mvn|xlsx")
SS10,TX13,SS10 Videos: Expected 6 .MOV|AAE files, found 0 (pattern: "*.MOV|AAE")
SS10,TX16,SS10 Videos: Expected 6 .MOV|AAE files, found 0 (pattern: "*.MOV|AAE")
SS10,POST18,SS10 Videos: Expected 6 .MOV|AAE files, found 0 (pattern: "*.MOV|AAE")
SS10,POST18,SS10 XSENS: Expected 6 .mvn|xlsx files, found 0 (pattern: "SS[0-9]{2}_XSENS_POST18_[FV|SSV]-00[1-3].mvn|xlsx")
SS21,BL,SS21 EMG: Expected 6 .adicht|mat files, found 5 (pattern: "SS[0-9]{2}_EMG_BL_[FV|SSV][1-3]{1}.adicht|mat")
SS21,BL,SS21 MVCs: Expected 12 .adicht|mat files, found 11 (pattern: "SS[0-9]{2}_MVC_BL_[Left|Right]_[Hip|Knee|Ankle]_[Flexors|Extensors].adicht|mat")
SS21,BL,SS21 XSENS: Expected 6 .mvn|xlsx files, found 0 (pattern: "SS[0-9]{2}_XSENS_BL_[FV|SSV]-00[1-3].mvn|xlsx")
